id_plantel,cantidad_jugadores
21518-2011/2012-8560,24
21518-2011/2012-8633,23
21518-2012/2013-8603,28
21518-2012/2013-7878,26
21518-2012/2013-8302,26
21518-2012/2013-9783,27
21518-2013/2014-8302,27
21518-2013/2014-8581,25
21518-2013/2014-8634,21
21518-2013/2014-8370,26
4769-2011/2012-8583,26
4769-2012/2013-7794,25
4769-2012/2013-9873,24
4769-2012/2013-9847,28
4769-2012/2013-8576,24
4769-2013/2014-7794,26
4769-2013/2014-9831,25
4769-2013/2014-9827,25
4769-2013/2014-9853,22
4769-2013/2014-9941,24
4769-2013/2014-9874,33
4769-2014/2015-7819,23
4769-2015/2016-9851,25
4769-2015/2016-9829,30
4769-2015/2016-10249,27
4769-2015/2016-9827,31
7809-2008/2009-9790,21
7809-2008/2009-9823,21
7809-2009/2010-9911,26
7809-2009/2010-10269,27
7809-2010/2011-10269,26
7809-2010/2011-8721,27
7809-2012/2013-9904,24
7809-2013/2014-8406,23
7809-2014/2015-10269,22
7809-2015/2016-10269,25
7809-2015/2016-8178,26
10257-2009/2010-8535,24
10257-2009/2010-8600,24
10257-2011/2012-8524,26
10257-2011/2012-8600,24
10257-2013/2014-10233,30
10257-2013/2014-9876,27
10257-2014/2015-9875,24
10257-2015/2016-8636,23
13274-2010/2011-8611,24
13274-2011/2012-8611,25
13274-2011/2012-9908,32
13274-2014/2015-8593,26
15722-2008/2009-8031,5
15722-2012/2013-1601,20
15722-2013/2014-8021,28
15722-2014/2015-8030,28
17642-2008/2009-7844,18
17642-2008/2009-7992,13
17642-2008/2009-10264,20
17642-2008/2009-10213,21
17642-2011/2012-4064,27
17642-2012/2013-10214,23
17642-2015/2016-6367,28
19694-2008/2009-10251,22
21518-2008/2009-8696,24
21518-2010/2011-8634,26
21518-2011/2012-8315,21
21518-2013/2014-8560,26
21518-2014/2015-8581,28
21518-2014/2015-8560,23
21518-2015/2016-8305,24
21518-2015/2016-8370,27
21518-2015/2016-8603,29
21518-2015/2016-9910,22
21518-2015/2016-8633,22
24558-2008/2009-9931,20
24558-2008/2009-6493,19
24558-2009/2010-10199,21
24558-2009/2010-10192,24
24558-2010/2011-10191,23
24558-2010/2011-7955,21
24558-2011/2012-10192,26
24558-2011/2012-10179,30
24558-2012/2013-9931,24
24558-2012/2013-9777,27
24558-2013/2014-9930,23
24558-2013/2014-10199,25
24558-2013/2014-10179,29
24558-2014/2015-9824,24
24558-2014/2015-10192,24
24558-2014/2015-9956,25
1-2008/2009-8342,17
1-2011/2012-9998,22
1-2012/2013-1773,21
1-2014/2015-10001,23
1-2015/2016-9985,33
1729-2008/2009-10252,17
1729-2008/2009-8667,27
1729-2008/2009-8456,30
1729-2009/2010-8654,27
1729-2009/2010-8455,23
1729-2009/2010-8668,24
1729-2010/2011-8559,22
1729-2011/2012-10194,22
1729-2011/2012-8659,24
1729-2011/2012-8455,27
1729-2011/2012-8655,27
1729-2012/2013-8466,21
1729-2012/2013-10261,27
1729-2012/2013-8472,21
1729-2012/2013-8528,24
1729-2014/2015-10172,28
1729-2014/2015-10252,25
1729-2014/2015-8197,24
1729-2015/2016-8654,24
1729-2015/2016-8466,23
4769-2008/2009-9748,23
4769-2008/2009-9746,31
4769-2009/2010-9847,22
4769-2009/2010-9748,24
4769-2009/2010-8583,19
4769-2010/2011-9831,25
13274-2011/2012-10228,19
13274-2012/2013-8674,23
15722-2008/2009-1957,10
15722-2009/2010-8245,13
15722-2009/2010-8031,9
15722-2011/2012-1957,15
15722-2014/2015-8673,33
15722-2015/2016-1957,26
17642-2008/2009-10214,23
17642-2009/2010-2033,25
17642-2009/2010-9807,23
17642-2009/2010-10214,24
17642-2009/2010-7844,22
17642-2012/2013-9772,23
17642-2014/2015-10212,25
17642-2014/2015-10214,27
19694-2014/2015-8426,26
19694-2015/2016-8426,25
21518-2011/2012-9906,21
21518-2011/2012-10205,25
21518-2014/2015-8302,23
21518-2014/2015-10267,21
21518-2015/2016-9783,23
24558-2008/2009-9956,21
24558-2013/2014-10190,22
24558-2014/2015-10191,24
24558-2015/2016-7896,26
24558-2015/2016-10199,24
1-2008/2009-9986,14
1-2010/2011-9986,31
1-2011/2012-9985,29
1-2012/2013-9998,25
1729-2008/2009-9879,18
1729-2008/2009-8559,21
1729-2009/2010-8658,23
1729-2013/2014-8472,29
1729-2015/2016-10003,25
1729-2015/2016-8456,22
1729-2015/2016-8678,22
1729-2015/2016-8668,26
4769-2010/2011-9851,26
13274-2015/2016-8464,23
15722-2010/2011-8025,12
15722-2012/2013-1957,21
15722-2014/2015-8019,21
15722-2015/2016-8021,20
19694-2008/2009-9860,27
4769-2010/2011-8592,21
4769-2010/2011-8481,23
4769-2011/2012-9847,21
4769-2011/2012-8639,23
4769-2014/2015-9851,22
10257-2009/2010-8543,26
10257-2013/2014-9885,23
13274-2008/2009-9908,20
13274-2010/2011-9839,23
13274-2010/2011-8640,21
15722-2008/2009-8244,3
15722-2009/2010-2183,9
15722-2011/2012-8020,17
15722-2013/2014-8023,19
17642-2011/2012-9764,24
17642-2012/2013-2033,24
17642-2012/2013-10212,25
19694-2011/2012-9927,21
19694-2014/2015-8467,22
19694-2014/2015-8066,21
21518-2008/2009-8634,23
1729-2014/2015-8466,23
4769-2009/2010-9831,24
4769-2011/2012-9748,26
7809-2010/2011-9905,23
7809-2012/2013-8358,23
10257-2010/2011-10167,23
21518-2009/2010-8305,20
21518-2012/2013-8370,25
21518-2012/2013-8661,24
21518-2013/2014-9865,23
24558-2012/2013-10199,23
24558-2015/2016-9956,24
1-2008/2009-8571,20
1-2009/2010-10000,20
1-2010/2011-10000,22
1-2011/2012-10000,23
1-2012/2013-9986,29
1-2014/2015-8203,22
1729-2008/2009-8455,24
1729-2011/2012-8650,23
1729-2012/2013-9879,26
10257-2014/2015-9882,27
10257-2014/2015-9880,29
13274-2015/2016-8674,23
15722-2009/2010-10265,11
15722-2010/2011-8569,9
15722-2011/2012-8024,17
15722-2011/2012-1601,13
15722-2015/2016-8028,20
17642-2015/2016-6403,26
19694-2010/2011-9800,22
19694-2013/2014-9938,22
1729-2013/2014-8344,26
1729-2013/2014-8667,23
1729-2013/2014-9826,28
1729-2014/2015-8659,24
4769-2010/2011-7819,24
4769-2012/2013-9837,24
7809-2009/2010-8226,22
7809-2013/2014-9810,24
10257-2008/2009-9885,25
17642-2009/2010-9809,20
17642-2011/2012-6403,23
1729-2012/2013-10172,30
1729-2015/2016-8586,20
4769-2011/2012-10249,20
21518-2014/2015-8370,24
1-2010/2011-6351,25
1-2011/2012-9987,23
1-2015/2016-9987,27
1729-2009/2010-8667,30
24558-2008/2009-10179,21
1729-2008/2009-9825,24
1729-2009/2010-10260,28
1729-2011/2012-10252,26
24558-2008/2009-10199,20
1729-2011/2012-8602,27
17642-2014/2015-10264,26
24558-2012/2013-7730,22
10257-2013/2014-7943,35
13274-2012/2013-10219,20
13274-2008/2009-8277,17
24558-2008/2009-10192,18
1-2015/2016-1773,23
1-2008/2009-9993,17
15722-2012/2013-8028,19
21518-2015/2016-8302,31
13274-2014/2015-8611,27
1-2010/2011-9984,22
15722-2008/2009-8322,5
4769-2014/2015-10249,24
4769-2014/2015-8550,26
4769-2014/2015-9747,24
4769-2015/2016-9941,23
7809-2008/2009-10189,22
7809-2008/2009-9912,20
7809-2008/2009-9789,24
7809-2009/2010-9789,21
7809-2010/2011-8165,23
7809-2010/2011-8358,23
7809-2010/2011-10189,28
7809-2012/2013-8165,23
7809-2013/2014-8358,25
7809-2013/2014-8697,23
7809-2013/2014-8177,24
7809-2013/2014-9776,25
7809-2013/2014-8178,20
7809-2014/2015-8697,28
7809-2014/2015-10189,29
7809-2015/2016-8177,22
7809-2015/2016-9789,24
7809-2015/2016-8721,25
10257-2008/2009-9875,25
10257-2008/2009-9804,26
10257-2008/2009-9888,28
10257-2008/2009-8529,21
10257-2008/2009-8690,26
10257-2009/2010-8636,23
10257-2009/2010-8524,27
10257-2010/2011-9880,24
10257-2010/2011-8540,24
10257-2010/2011-8686,24
10257-2011/2012-10167,29
10257-2011/2012-9875,21
10257-2011/2012-10233,27
10257-2011/2012-8543,27
10257-2011/2012-6269,28
10257-2012/2013-10233,32
10257-2012/2013-8524,31
10257-2014/2015-9885,26
10257-2014/2015-8600,25
10257-2014/2015-8686,28
10257-2015/2016-8535,25
13274-2008/2009-8525,19
13274-2009/2010-10219,22
13274-2010/2011-9803,19
13274-2010/2011-9761,22
13274-2010/2011-10229,22
13274-2010/2011-10218,24
13274-2010/2011-8674,20
13274-2011/2012-9791,19
13274-2013/2014-10219,23
13274-2013/2014-8464,28
13274-2013/2014-10228,25
13274-2013/2014-8640,23
13274-2013/2014-9803,23
13274-2014/2015-8277,19
13274-2015/2016-8526,21
13274-2015/2016-9791,22
13274-2015/2016-8525,25
13274-2015/2016-10218,21
15722-2008/2009-1601,9
15722-2009/2010-8025,11
15722-2009/2010-2186,7
15722-2010/2011-10265,20
15722-2010/2011-8020,13
15722-2011/2012-2186,13
15722-2012/2013-8021,18
15722-2013/2014-8673,28
15722-2014/2015-8023,24
15722-2015/2016-8245,25
17642-2008/2009-9807,19
17642-2008/2009-6403,20
17642-2009/2010-9768,25
17642-2010/2011-10212,22
17642-2011/2012-10211,24
17642-2012/2013-9764,24
17642-2012/2013-7841,24
17642-2013/2014-10264,33
17642-2013/2014-7844,25
17642-2013/2014-9773,25
17642-2013/2014-6403,30
17642-2014/2015-9773,25
17642-2015/2016-10214,26
17642-2015/2016-10215,25
17642-2015/2016-188163,26
17642-2015/2016-10238,23
17642-2015/2016-9807,27
19694-2009/2010-10251,22
19694-2009/2010-8596,23
19694-2009/2010-9800,19
19694-2010/2011-9860,26
19694-2012/2013-8485,25
19694-2012/2013-8649,26
19694-2012/2013-9927,21
19694-2012/2013-9860,29
19694-2013/2014-9800,24
19694-2013/2014-8426,23
19694-2013/2014-8467,24
19694-2015/2016-8485,27
21518-2008/2009-8479,21
21518-2008/2009-8302,25
21518-2009/2010-8394,27
21518-2009/2010-8634,20
21518-2010/2011-8371,23
21518-2010/2011-8315,24
21518-2010/2011-8394,23
21518-2010/2011-8302,30
21518-2010/2011-9783,30
21518-2011/2012-9869,28
21518-2011/2012-9864,26
21518-2011/2012-8661,26
21518-2012/2013-8634,22
21518-2012/2013-8305,26
21518-2012/2013-10281,21
21518-2012/2013-8633,27
21518-2013/2014-7878,23
21518-2013/2014-8371,22
4769-2011/2012-9853,25
4769-2011/2012-8592,20
4769-2012/2013-8689,29
4769-2012/2013-9748,25
4769-2013/2014-9873,25
4769-2013/2014-9747,23
4769-2013/2014-8639,20
4769-2014/2015-9853,23
4769-2015/2016-9747,26
4769-2015/2016-9748,27
4769-2015/2016-8592,27
7809-2011/2012-8697,28
7809-2012/2013-10269,22
7809-2013/2014-8721,22
7809-2013/2014-8226,21
7809-2013/2014-9788,16
7809-2014/2015-9810,25
10257-2008/2009-8551,25
10257-2008/2009-8533,26
10257-2009/2010-8533,21
10257-2009/2010-8537,31
10257-2010/2011-8564,30
10257-2012/2013-9885,24
10257-2013/2014-8636,25
10257-2014/2015-8529,27
10257-2015/2016-8524,30
10257-2015/2016-8543,26
13274-2008/2009-8640,18
13274-2008/2009-8674,19
13274-2009/2010-9791,16
13274-2009/2010-8640,22
13274-2011/2012-10235,21
13274-2011/2012-10217,22
13274-2012/2013-10229,21
13274-2013/2014-7788,24
15722-2009/2010-8322,8
15722-2010/2011-8024,16
15722-2011/2012-8030,13
15722-2011/2012-8021,15
15722-2011/2012-8569,12
15722-2013/2014-10265,21
15722-2013/2014-2186,22
15722-2015/2016-8033,24
